SeqCluster,Most represented functional category
CK_00000001,IPR000943|IPR007624|IPR007627|IPR007630|IPR009042|IPR014284|IPR017848
CK_00000002,IPR001789|IPR001867
CK_00000003,IPR003439|IPR005890|IPR017871
CK_00000004,IPR012128
CK_00000005,IPR003439|IPR014324|IPR017871
CK_00000006,IPR018215|IPR023562|IPR033135
CK_00000007,IPR000642|IPR003959|IPR003960|IPR005936|IPR011546|IPR041569
CK_00000009,IPR000484|IPR005867
CK_00000010,IPR007159|IPR027360
CK_00000011,IPR003959|IPR004176|IPR017730|IPR018368|IPR019489|IPR028299|IPR041546
CK_00000012,IPR001297|IPR008213
CK_00000013,IPR001478
CK_00000015,IPR001750|IPR010227
CK_00000016,IPR001041|IPR006058|IPR010241
CK_00000017,IPR006424|IPR020828|IPR020829|IPR020830
CK_00000018,IPR001036
CK_00000019,IPR000504
CK_00000020,IPR000719|IPR004147
CK_00000021,IPR000653
CK_00000022,IPR003439|IPR017871
CK_00000023,IPR005673|IPR024370
CK_00000024,IPR003672|IPR011771|IPR022571
CK_00000025,IPR000073
CK_00000026,IPR001216|IPR001926|IPR005856|IPR005859
CK_00000027,IPR002637
CK_00000028,IPR002205|IPR006691
CK_00000029,IPR012725|IPR013126|IPR018181
CK_00000030,IPR000192|IPR020578
CK_00000031,IPR003698|IPR007197|IPR031691
CK_00000032,IPR001280|IPR006244|IPR020586
CK_00000033,IPR001478|IPR004447|IPR005151|IPR041489
CK_00000035,IPR001727
CK_00000037,IPR000249|IPR020808|IPR044872
CK_00000038,IPR000866|IPR013766
CK_00000039,IPR001538|IPR005835|IPR006375
CK_00000040,IPR002579
CK_00000042,IPR000484|IPR005868
CK_00000043,IPR005804
CK_00000044,IPR001297
CK_00000045,IPR002645|IPR011547
CK_00000047,IPR005746|IPR013766|IPR017937
CK_00000049,IPR040449|IPR040921
CK_00000050,IPR022796
CK_00000051,IPR003439|IPR005894|IPR017871|IPR025302
CK_00000053,IPR002942|IPR006145|IPR006224|IPR006225
CK_00000054,IPR001264|IPR001460
CK_00000055,IPR000629|IPR001650|IPR005580|IPR011545|IPR014001|IPR014014
CK_00000058,IPR025067
CK_00000059,IPR002347|IPR011284|IPR020904
CK_00000060,IPR003495|IPR011629
CK_00000061,IPR002649|IPR003526|IPR016009|IPR020555
CK_00000063,IPR009056
CK_00000064,IPR007561
CK_00000065,IPR001757|IPR006121|IPR017969|IPR018303|IPR027256
CK_00000066,IPR014030|IPR014031|IPR017568|IPR018201|IPR020841
CK_00000067,IPR022796
CK_00000068,IPR006059
CK_00000069,IPR012128
CK_00000070,IPR006608
CK_00000072,IPR018714
CK_00000073,IPR003838|IPR005891
CK_00000074,IPR006311
CK_00000075,IPR010139|IPR017926
CK_00000076,IPR017777
CK_00000078,IPR006311
CK_00000080,IPR001626
CK_00000081,IPR001646
CK_00000083,IPR000965|IPR015590|IPR020593
CK_00000086,IPR010108
CK_00000088,IPR005835
CK_00000090,IPR005886|IPR016040
CK_00000092,IPR004651|IPR006062
CK_00000093,IPR000634|IPR001926|IPR004450
CK_00000097,IPR021734
CK_00000098,IPR004639|IPR005814|IPR049704
CK_00000099,IPR005490
CK_00000100,IPR000399|IPR011766|IPR012000|IPR012001|IPR012846
CK_00000102,IPR004099|IPR006258|IPR012999|IPR023753
CK_00000103,IPR004809|IPR008146|IPR008147|IPR027302|IPR027303
CK_00000105,IPR000014|IPR003594|IPR003660|IPR003661|IPR005467|IPR013656
CK_00000106,IPR002912|IPR006139|IPR006140|IPR006236|IPR029752|IPR029753|IPR045626
CK_00000111,IPR004504|IPR020588|IPR041166
CK_00000113,IPR001516|IPR001750|IPR002128|IPR018393
CK_00000114,IPR000523|IPR002035|IPR011776|IPR041628
CK_00000115,IPR005888|IPR016040
CK_00000116,IPR014016|IPR014017
CK_00000118,IPR000811|IPR011833|IPR035090
CK_00000119,IPR002817
CK_00000120,IPR000185|IPR011115|IPR011116|IPR011130|IPR014001|IPR014018|IPR020937|IPR044722
CK_00000123,IPR001509
CK_00000124,IPR011701|IPR020846
CK_00000125,IPR007692|IPR007693|IPR007694
CK_00000126,IPR001482|IPR006321
CK_00000127,IPR001576|IPR015911
CK_00000134,IPR002489|IPR002932|IPR006982|IPR017932
CK_00000135,IPR001196|IPR005749|IPR021131
CK_00000137,IPR003375
CK_00000138,IPR015590|IPR029510
CK_00000140,IPR004045|IPR010987
CK_00000144,IPR004808|IPR005135|IPR020847
CK_00000145,IPR006076|IPR011777
CK_00000149,IPR025344
CK_00000151,IPR003362
CK_00000152,IPR001986|IPR005750
CK_00000153,IPR001017|IPR017597
CK_00000156,IPR027785
CK_00000157,IPR001670|IPR018211
CK_00000158,IPR000713|IPR004101|IPR005863|IPR013221
CK_00000160,IPR002569
CK_00000161,IPR004412|IPR020556|IPR023631
CK_00000164,IPR006195|IPR041715
CK_00000165,IPR000515|IPR005672
CK_00000166,IPR001705|IPR018264
CK_00000167,IPR000866|IPR013766|IPR019479
CK_00000168,IPR001900|IPR003029|IPR013223
CK_00000169,IPR003251|IPR008434
CK_00000171,IPR013830
CK_00000173,IPR000932
CK_00000174,IPR000073
CK_00000177,IPR045615
CK_00000180,IPR017896
CK_00000181,IPR007120|IPR007121|IPR007641|IPR007642|IPR007644|IPR007645|IPR010243|IPR019462
CK_00000184,IPR005225|IPR006073|IPR021147
CK_00000186,IPR002187|IPR017918
CK_00000187,IPR023635
CK_00000188,IPR011112|IPR032585
CK_00000189,IPR004680|IPR006037|IPR031312
CK_00000193,IPR007549|IPR017673|IPR041489|IPR045375
CK_00000194,IPR003824
CK_00000195,IPR021468
CK_00000196,IPR003953|IPR005288|IPR015939
CK_00000197,IPR012932
CK_00000198,IPR002792|IPR005839|IPR005840|IPR007197|IPR013848|IPR020612
CK_00000199,IPR025595
CK_00000200,IPR002734
CK_00000201,IPR007115
CK_00000202,IPR023000|IPR031322
CK_00000203,IPR004045|IPR004046
CK_00000204,IPR000238|IPR020053
CK_00000205,IPR001764|IPR041518
CK_00000206,IPR003754
CK_00000207,IPR005031
CK_00000208,IPR002937|IPR014103
CK_00000209,IPR000361|IPR016092|IPR017870
CK_00000210,IPR019734
CK_00000211,IPR019994
CK_00000212,IPR001509|IPR010099|IPR013549
CK_00000213,IPR020905
CK_00000214,IPR001623
CK_00000216,IPR003439|IPR017871
CK_00000217,IPR004622
CK_00000218,IPR018094|IPR018095|IPR039430
CK_00000219,IPR019734
CK_00000220,IPR003664|IPR012281
CK_00000221,IPR004655|IPR013747|IPR013751
CK_00000222,IPR004410|IPR014043
CK_00000223,IPR002123
CK_00000224,IPR000905|IPR022496
CK_00000225,IPR002646|IPR032828
CK_00000226,IPR000504
CK_00000227,IPR002060|IPR019845
CK_00000228,IPR002937|IPR014102
CK_00000229,IPR018922
CK_00000230,IPR000847|IPR005119
CK_00000231,IPR009915
CK_00000232,IPR003768
CK_00000233,IPR003171
CK_00000234,IPR000792
CK_00000235,IPR023577
CK_00000236,IPR002504
CK_00000237,IPR039428
CK_00000238,IPR001457
CK_00000239,IPR004497|IPR010226|IPR017896|IPR017900
CK_00000240,IPR001694|IPR018086
CK_00000241,IPR002020|IPR011278
CK_00000242,IPR004268
CK_00000243,IPR005224|IPR040452|IPR041465
CK_00000244,IPR001905|IPR018047|IPR024041
CK_00000245,IPR003451
CK_00000246,IPR002695|IPR011607
CK_00000247,IPR003140
CK_00000248,IPR021498
CK_00000249,IPR003594|IPR003661|IPR005467
CK_00000250,IPR003805
CK_00000251,IPR002616|IPR004803
CK_00000252,IPR003687
CK_00000253,IPR000683
CK_00000254,IPR000644|IPR002550|IPR005170
CK_00000255,IPR004467
CK_00000256,IPR017703
CK_00000257,IPR019993|IPR038720
CK_00000258,IPR005843|IPR005844|IPR005845|IPR005846|IPR016066
CK_00000259,IPR004294
CK_00000260,IPR000807|IPR020565
CK_00000262,IPR000086
CK_00000263,IPR000550
CK_00000264,IPR003399
CK_00000265,IPR002882|IPR010119
CK_00000266,IPR001268|IPR020396
CK_00000267,IPR006137|IPR006138
CK_00000268,IPR000440
CK_00000269,IPR024934|IPR024935
CK_00000270,IPR028203
CK_00000271,IPR006217|IPR013081|IPR013082
CK_00000272,IPR002682
CK_00000273,IPR001732|IPR014026|IPR014027|IPR017476
CK_00000274,IPR016040
CK_00000275,IPR004154|IPR006195|IPR015807|IPR041715
CK_00000277,IPR004536|IPR010918|IPR016188|IPR030805
CK_00000278,IPR002646
CK_00000279,IPR016053
CK_00000280,IPR004439|IPR019818|IPR024084
CK_00000281,IPR010737|IPR031475
CK_00000282,IPR008183
CK_00000283,IPR006153
CK_00000285,IPR000999|IPR011907|IPR014720
CK_00000286,IPR021659
CK_00000287,IPR002676|IPR011961|IPR027275
CK_00000288,IPR001347|IPR005855|IPR017932
CK_00000289,IPR017491|IPR017896|IPR017900
CK_00000290,IPR003231|IPR006162|IPR009081
CK_00000291,IPR005474|IPR005475|IPR005478|IPR020826|IPR049557
CK_00000292,IPR002933|IPR011650|IPR017439
CK_00000293,IPR019734
CK_00000294,IPR004605|IPR008823|IPR008824|IPR041445
CK_00000295,IPR000037|IPR020081
CK_00000297,IPR002313|IPR004364|IPR004365|IPR006195
CK_00000299,IPR007221
CK_00000300,IPR004753
CK_00000301,IPR000424|IPR011344
CK_00000302,IPR032816
CK_00000303,IPR000043|IPR015878|IPR020082
CK_00000304,IPR003442
CK_00000305,IPR002173|IPR011611
CK_00000307,IPR000644|IPR006667|IPR006668|IPR006669
CK_00000308,IPR000889|IPR029759
CK_00000309,IPR002288|IPR003594|IPR006171|IPR011557|IPR013506|IPR018522
CK_00000310,IPR018022
CK_00000311,IPR001288|IPR019813|IPR019814|IPR019815
CK_00000312,IPR000524
CK_00000313,IPR001451|IPR005881|IPR010493|IPR018357|IPR053376
CK_00000314,IPR002180|IPR034964
CK_00000315,IPR000432|IPR005748|IPR007695|IPR007696|IPR007860|IPR007861
CK_00000316,IPR000182
CK_00000317,IPR001650|IPR001943|IPR004807|IPR006935|IPR014001|IPR024759|IPR041471
CK_00000318,IPR007570
CK_00000319,IPR011063|IPR012795|IPR015262
CK_00000320,IPR003722
CK_00000321,IPR005790|IPR010372|IPR048466
CK_00000322,IPR001279|IPR001587|IPR004613|IPR011108|IPR041636
CK_00000323,IPR002220|IPR005263|IPR020624|IPR020625
CK_00000324,IPR000534|IPR005986|IPR012280
CK_00000325,IPR003959|IPR004487|IPR010603|IPR019489
CK_00000326,IPR012763|IPR022754|IPR045085
CK_00000327,IPR001173
CK_00000328,IPR013486|IPR013693
CK_00000329,IPR001706|IPR018265|IPR021137
CK_00000330,IPR005813|IPR049946
CK_00000331,IPR019734
CK_00000332,IPR033983
CK_00000333,IPR001296|IPR028098
CK_00000334,IPR001460|IPR005311|IPR017790
CK_00000336,IPR001674|IPR004739|IPR017926|IPR022310|IPR025777
CK_00000337,IPR002748
CK_00000338,IPR000192|IPR020578
CK_00000339,IPR002711
CK_00000340,IPR001509
CK_00000341,IPR005255
CK_00000342,IPR000089|IPR001249|IPR001882
CK_00000343,IPR001059|IPR011768|IPR013185|IPR013852|IPR015365
CK_00000344,IPR002130|IPR048563
CK_00000345,IPR006283|IPR010918|IPR016188
CK_00000346,IPR000713|IPR004101|IPR005758|IPR013221
CK_00000347,IPR003170|IPR006094|IPR011601|IPR016166
CK_00000348,IPR004401
CK_00000349,IPR004881|IPR010914|IPR030378
CK_00000350,IPR001305|IPR001623|IPR002939|IPR012724|IPR018253
CK_00000351,IPR000740
CK_00000352,IPR004792
CK_00000353,IPR018517|IPR035587
CK_00000354,IPR009049|IPR020557|IPR022761|IPR029419
CK_00000355,IPR001932
CK_00000356,IPR000897|IPR004390|IPR013822
CK_00000357,IPR006027|IPR011605
CK_00000358,IPR007462
CK_00000359,IPR004453|IPR013542|IPR017896|IPR017900
CK_00000360,IPR019734
CK_00000361,IPR000836|IPR005854|IPR017932
CK_00000362,IPR010074|IPR010918|IPR016188|IPR041609
CK_00000363,IPR027275
CK_00000364,IPR001001|IPR022634|IPR022635|IPR022637
CK_00000365,IPR010802
CK_00000366,IPR003395|IPR004604
CK_00000367,IPR003439|IPR004602|IPR017871|IPR041102|IPR041552
CK_00000368,IPR001296|IPR006380|IPR012821|IPR012822|IPR028098
CK_00000369,IPR003135|IPR005862|IPR011761|IPR048740|IPR054350
CK_00000371,IPR000715|IPR003524|IPR018480
CK_00000372,IPR021481
CK_00000373,IPR001518|IPR018223|IPR048267|IPR048268
CK_00000374,IPR000529|IPR020815
CK_00000375,IPR005691
CK_00000376,IPR011342|IPR013708|IPR041121
CK_00000377,IPR006076
CK_00000378,IPR007016
CK_00000380,IPR001030|IPR004406|IPR015929|IPR015933|IPR018136
CK_00000381,IPR006218|IPR006219
CK_00000383,IPR003414|IPR024953|IPR025198|IPR025200|IPR041108
CK_00000384,IPR000878|IPR003043|IPR006366
CK_00000385,IPR001544
CK_00000386,IPR015890
CK_00000387,IPR018317
CK_00000388,IPR007197
CK_00000389,IPR004468|IPR017456|IPR017926
CK_00000390,IPR004364|IPR004365|IPR004524|IPR006195|IPR029351
CK_00000391,IPR006222|IPR006223|IPR013977
CK_00000392,IPR005925|IPR006035|IPR020855
CK_00000393,IPR030373|IPR030374|IPR035246
CK_00000394,IPR000352
CK_00000395,IPR004518|IPR011551
CK_00000396,IPR001279
CK_00000397,IPR002481
CK_00000398,IPR002347
CK_00000399,IPR005123|IPR044862
CK_00000401,IPR001412|IPR002300|IPR002303|IPR013155|IPR019499
CK_00000402,IPR032816
CK_00000403,IPR032347
CK_00000404,IPR006640|IPR035240
CK_00000405,IPR002800|IPR048022
CK_00000406,IPR004416|IPR020595|IPR026904|IPR040131|IPR049312
CK_00000407,IPR020069|IPR020070|IPR020594
CK_00000408,IPR009651
CK_00000409,IPR000089|IPR003016|IPR017453|IPR033753
CK_00000410,IPR003437|IPR049315|IPR049316
CK_00000411,IPR001226|IPR002563|IPR008254|IPR045761
CK_00000412,IPR002563|IPR008254|IPR045761
CK_00000413,IPR000330|IPR001650|IPR014001|IPR022138
CK_00000414,IPR002318|IPR003156|IPR012947|IPR018164|IPR018165
CK_00000415,IPR002985|IPR022644|IPR022653|IPR022657|IPR040634|IPR041128
CK_00000416,IPR023005|IPR034907
CK_00000417,IPR006076|IPR012727
CK_00000418,IPR004413|IPR006075|IPR017958|IPR018027
CK_00000420,IPR002813
CK_00000421,IPR004147
CK_00000422,IPR000941|IPR020809|IPR020810|IPR020811
CK_00000423,IPR004360|IPR004361|IPR018146|IPR037523
CK_00000424,IPR001901|IPR005807
CK_00000425,IPR001062|IPR005824|IPR006645|IPR015869
CK_00000426,IPR006519|IPR020783|IPR020784|IPR020785
CK_00000427,IPR005878|IPR023673|IPR028364
CK_00000428,IPR001790
CK_00000429,IPR000206|IPR008932|IPR013823
CK_00000430,IPR002156
CK_00000431,IPR001295|IPR005719|IPR005720
CK_00000432,IPR004838|IPR004839
CK_00000433,IPR004276|IPR006009|IPR007235
CK_00000434,IPR006311
CK_00000435,IPR006073|IPR019991
CK_00000436,IPR004520|IPR005225|IPR006073|IPR018948|IPR025867|IPR031168
CK_00000437,IPR002638|IPR004393|IPR022412
CK_00000438,IPR001278|IPR001412|IPR005148|IPR008909|IPR035684
CK_00000439,IPR004838|IPR004839
CK_00000440,IPR006311
CK_00000441,IPR006221|IPR017926
CK_00000442,IPR000829
CK_00000443,IPR002036|IPR020549
CK_00000444,IPR000352|IPR004374|IPR005139
