SeqCluster,ClusterNumber,InterPro_id,Most represented functional category_x
CK_00000001,CK_Pro_HNLC2_01521,IPR014284  IPR000943  IPR009042  IPR007627  IPR007624  IPR007630  IPR013325  IPR013324  IPR017848  IPR050239  IPR036388,IPR000943|IPR007624|IPR007627|IPR007630|IPR009042|IPR014284|IPR017848
CK_00000002,CK_Syn_WH8016_01352,IPR011006  IPR006291  IPR001867  IPR001789  IPR039420  IPR036388,IPR001789|IPR001867
CK_00000003,CK_Pro_MIT9314_00172,IPR003593  IPR003439  IPR017871  IPR050166  IPR027417,IPR003439|IPR005890|IPR017871
CK_00000004,CK_Cya_WH5701_13580,IPR009050  IPR012128  IPR038719,IPR012128
CK_00000005,CK_Syn_WH7805_02352,IPR003593  IPR003439  IPR017871  IPR017911  IPR027417,IPR003439|IPR014324|IPR017871
CK_00000006,CK_Pro_MIT9302_01636,IPR001907  IPR029045  IPR023562  IPR033135  IPR018215,IPR018215|IPR023562|IPR033135
CK_00000007,CK_Syn_BMK-MC-1_01498,IPR003593  IPR041569  IPR003959  IPR003960  IPR005936  IPR027417  IPR011546  IPR000642  IPR037219,IPR000642|IPR003959|IPR003960|IPR005936|IPR011546|IPR041569
CK_00000009,CK_Syn_A18-40_02421,IPR055266  IPR036854  IPR000484  IPR055265  IPR005867,IPR000484|IPR005867
CK_00000011,CK_Pro_MIT9321_01158,IPR003593  IPR003959  IPR019489  IPR036628  IPR004176  IPR001270  IPR018368  IPR028299  IPR041546  IPR050130  IPR027417,IPR003959|IPR004176|IPR017730|IPR018368|IPR019489|IPR028299|IPR041546
CK_00000012,CK_Syn_WH8101_00546,IPR008213  IPR001297  IPR038255  IPR016470,IPR001297|IPR008213
CK_00000013,CK_Syn_KORDI-52_21580,IPR048172  IPR001478  IPR036034  IPR009003  IPR001940,IPR001478
CK_00000015,CK_Syn_CC9616_02155,IPR022997  IPR010227  IPR003918  IPR001750,IPR001750|IPR010227
CK_00000016,CK_Syn_RS9907_02400,IPR036010  IPR001041  IPR006058  IPR012675  IPR010241,IPR001041|IPR006058|IPR010241
CK_00000017,CK_Pro_SB_01213,IPR020831  IPR020830  IPR020829  IPR020828  IPR006424  IPR036291,IPR006424|IPR020828|IPR020829|IPR020830
CK_00000018,CK_Cya_CB0205_06836, ,IPR001036
CK_00000019,CK_Syn_A15-60_02246,IPR012677  IPR035979  IPR000504  IPR052462,IPR000504
CK_00000020,CK_Cya_PCC6307_02394,IPR004147  IPR011009  IPR000719  IPR050154,IPR000719|IPR004147
CK_00000021,CK_Syn_BOUM118_00461,IPR000653  IPR015424  IPR015421  IPR015422,IPR000653
CK_00000022,CK_Pro_MIT9123_01331,IPR003593  IPR003439  IPR017871  IPR050153  IPR027417,IPR003439|IPR017871
CK_00000023,CK_Syn_RS9917_00632,IPR005673  IPR024370  IPR050962,IPR005673|IPR024370
CK_00000024,CK_Syn_MITS9220_01218,IPR003672  IPR022571,IPR003672|IPR011771|IPR022571
CK_00000025,CK_Pro_SS120_01790,IPR050471  IPR000073  IPR029058  IPR000639,IPR000073
CK_00000026,CK_Pro_HNLC2_01402,IPR005856  IPR050214  IPR005859  IPR001216  IPR001926  IPR036052,IPR001216|IPR001926|IPR005856|IPR005859
CK_00000027,CK_Pro_MIT0702_00487,IPR020922  IPR029001  IPR002637,IPR002637
CK_00000028,CK_Pro_NATL2A_00689,IPR005743  IPR006691  IPR035516  IPR013760  IPR013758  IPR013757  IPR002205  IPR050220,IPR002205|IPR006691
CK_00000029,CK_Syn_PROS-U-1_03149,IPR043129  IPR012725  IPR018181  IPR029048  IPR029047  IPR013126,IPR012725|IPR013126|IPR018181
CK_00000030,CK_Pro_SS35_01570,IPR000192  IPR027563  IPR015424  IPR015421  IPR015422,IPR000192|IPR020578
CK_00000031,CK_Pro_MIT9401_00026,IPR013785  IPR006638  IPR031691  IPR003698  IPR007197,IPR003698|IPR007197|IPR031691
CK_00000032,CK_Pro_MIT0801_02023,IPR006241  IPR006216  IPR013081,IPR001280|IPR006244|IPR020586
CK_00000033,CK_Syn_WH8103_01318,IPR029045  IPR054621  IPR001478  IPR036034  IPR004447  IPR005151,IPR001478|IPR004447|IPR005151|IPR041489
CK_00000035,CK_Syn_PROS-7-1_01301,IPR001727  IPR049555,IPR001727
CK_00000037,CK_Syn_CC9605_00758,IPR020808  IPR000249  IPR050575  IPR037233  IPR044872,IPR000249|IPR020808|IPR044872
CK_00000038,CK_Syn_A18-40_02433,IPR000866  IPR024706  IPR050924  IPR036249  IPR013766,IPR000866|IPR013766
CK_00000039,CK_Syn_A15-28_00186,IPR049577  IPR006375  IPR001538  IPR054566  IPR051161  IPR005835  IPR029044  IPR014710  IPR011051,IPR001538|IPR005835|IPR006375
