SeqCluster,GO_result
CK_00000001,GO:0003677|GO:0003700|GO:0006352|GO:0006355|GO:0016987
CK_00000002,GO:0000160|GO:0003677|GO:0006355
CK_00000003,GO:0005524|GO:0015112|GO:0015706|GO:0016020|GO:0016887
CK_00000004,GO:0015979|GO:0030089
CK_00000005,GO:0005524|GO:0016887
CK_00000007,GO:0004176|GO:0004222|GO:0005524|GO:0006508|GO:0008270|GO:0016020|GO:0016887
CK_00000009,GO:0009055|GO:0009772|GO:0019684|GO:0045156
CK_00000010,GO:0003677
CK_00000011,GO:0005524|GO:0005737|GO:0009408|GO:0016887|GO:0042026
CK_00000012,GO:0015979|GO:0030089
CK_00000013,GO:0005515
CK_00000015,GO:0008137|GO:0042773
CK_00000016,GO:0009055|GO:0022900|GO:0051536|GO:0051537
CK_00000017,GO:0006006|GO:0016620|GO:0050661|GO:0051287
CK_00000018,GO:0016020|GO:0022857|GO:0055085
CK_00000019,GO:0003723
CK_00000020,GO:0004672|GO:0005524|GO:0006468
CK_00000022,GO:0005524|GO:0016887
CK_00000023,GO:0035435|GO:0042301|GO:0043190
CK_00000024,GO:0009058|GO:0015995|GO:0016851
CK_00000026,GO:0004124|GO:0006535
CK_00000027,GO:0009143|GO:0047429
CK_00000028,GO:0003677|GO:0003916|GO:0003918|GO:0005524|GO:0006265
CK_00000029,GO:0005524|GO:0006457|GO:0051082|GO:0140662
CK_00000030,GO:0006520|GO:0030170|GO:0031071
CK_00000031,GO:0003824|GO:0009107|GO:0016992|GO:0051536|GO:0051539
CK_00000032,GO:0009522|GO:0009579|GO:0015979|GO:0016020
CK_00000033,GO:0005515|GO:0006508|GO:0008236
CK_00000035,GO:0046873
CK_00000037,GO:0031469
CK_00000038,GO:0016209|GO:0016491
CK_00000039,GO:0000271|GO:0005976|GO:0009058|GO:0016779
CK_00000040,GO:0033743
CK_00000042,GO:0009523|GO:0009772|GO:0015979|GO:0016020|GO:0019684|GO:0045156
CK_00000043,GO:0006629
CK_00000044,GO:0015979|GO:0030089
CK_00000045,GO:0016020
CK_00000047,GO:0015035
CK_00000051,GO:0005524|GO:0016887|GO:0043215|GO:1900753
CK_00000053,GO:0001522|GO:0003723|GO:0009451|GO:0009982
CK_00000054,GO:0008658
CK_00000055,GO:0003676|GO:0003724|GO:0005524
CK_00000059,GO:0004316|GO:0006633|GO:0016491|GO:0051287
CK_00000061,GO:0008033|GO:0008685|GO:0016114|GO:0052906
CK_00000063,GO:0009055|GO:0020037
CK_00000064,GO:0090529
CK_00000065,GO:0005215|GO:0005524|GO:0006812|GO:0016020|GO:0016887|GO:0019829|GO:0046872
CK_00000066,GO:0004315|GO:0006633|GO:0016747
CK_00000069,GO:0015979|GO:0030089
CK_00000073,GO:0016020
CK_00000075,GO:0000105|GO:0016763
CK_00000078,GO:0004435|GO:0006629|GO:0007165|GO:0035556
CK_00000080,GO:0005886|GO:0043190|GO:0055085
CK_00000083,GO:0004350|GO:0006561|GO:0016491
CK_00000086,GO:0016117|GO:0016705
CK_00000088,GO:0009058
CK_00000090,GO:0003978|GO:0006012
CK_00000092,GO:0000105|GO:0000107
CK_00000093,GO:0006520|GO:0030170
CK_00000098,GO:0008483|GO:0030170|GO:0033014|GO:0042286
CK_00000099,GO:0016740
CK_00000100,GO:0000287|GO:0003824|GO:0003984|GO:0009082|GO:0030976|GO:0050660
CK_00000102,GO:0004148|GO:0016491|GO:0016668|GO:0050660
CK_00000103,GO:0004356|GO:0006542
CK_00000105,GO:0000155|GO:0006355|GO:0007165|GO:0016020
CK_00000106,GO:0004617|GO:0006564|GO:0016616|GO:0051287
CK_00000111,GO:0003677|GO:0003684|GO:0005524|GO:0006281|GO:0140664
CK_00000113,GO:0008137|GO:0042773
CK_00000114,GO:0005524|GO:0015995|GO:0016851
CK_00000115,GO:0008460|GO:0009225
CK_00000116,GO:0005524|GO:0016787
CK_00000118,GO:0004645|GO:0005975|GO:0008184|GO:0030170
CK_00000119,GO:0009228|GO:0051536
CK_00000120,GO:0005524|GO:0006605|GO:0006886|GO:0016020|GO:0017038
CK_00000124,GO:0016020|GO:0022857|GO:0055085
CK_00000125,GO:0003677|GO:0003678|GO:0005524|GO:0006260
CK_00000126,GO:0005524
CK_00000127,GO:0004618|GO:0006096
CK_00000134,GO:0006537|GO:0015930|GO:0016491|GO:0016638
CK_00000135,GO:0003735|GO:0005840|GO:0006412|GO:0015934
CK_00000137,GO:0009522|GO:0009538|GO:0015979
CK_00000138,GO:0016491
CK_00000144,GO:0003677|GO:0003824|GO:0004518|GO:0004519|GO:0006281
CK_00000145,GO:0016628
CK_00000152,GO:0008760|GO:0016765|GO:0019277
CK_00000153,GO:0004739|GO:0006086|GO:0016624|GO:0043231
CK_00000156,GO:0004386|GO:0006302|GO:0006310|GO:0008854|GO:0009338
CK_00000157,GO:0016491|GO:0046872
CK_00000158,GO:0005524|GO:0009058|GO:0016881|GO:0047480|GO:0071555
CK_00000160,GO:0008113
CK_00000161,GO:0006412|GO:0030956|GO:0050567
CK_00000164,GO:0000105|GO:0005737
CK_00000165,GO:0005315|GO:0005886|GO:0016020|GO:0035435|GO:0055085
CK_00000166,GO:0003735|GO:0005840|GO:0006412
CK_00000167,GO:0016209|GO:0016491|GO:0051920
CK_00000168,GO:0003676|GO:0003723|GO:0004540
CK_00000169,GO:0015979|GO:0015995|GO:0016491|GO:0046872|GO:0048529
CK_00000173,GO:0009521|GO:0009767|GO:0016020|GO:0016168|GO:0019684
CK_00000174,GO:0009058
CK_00000181,GO:0003677|GO:0003899|GO:0006351
CK_00000184,GO:0005525
CK_00000186,GO:0006808|GO:0030234
CK_00000187,GO:0042586
CK_00000188,GO:0006353
CK_00000189,GO:0006813|GO:0008324|GO:0016020|GO:0055085
CK_00000193,GO:0005515
CK_00000194,GO:0016020|GO:0016311|GO:0050380
CK_00000196,GO:0008734|GO:0009435|GO:0016491
CK_00000198,GO:0003824|GO:0005737|GO:0006400|GO:0016740|GO:0018339|GO:0035596|GO:0051536|GO:0051539
CK_00000200,GO:0008703|GO:0009231
CK_00000204,GO:0006364
CK_00000205,GO:0004553|GO:0005975
CK_00000206,GO:0004852|GO:0033014
CK_00000208,GO:0016117|GO:0016491|GO:0016719
CK_00000209,GO:0016226|GO:0051536
CK_00000210,GO:0005515
CK_00000213,GO:0005886|GO:0016655
CK_00000216,GO:0005524|GO:0016887
CK_00000217,GO:0003887|GO:0006260|GO:0008408
CK_00000218,GO:0004798|GO:0005524|GO:0006233
CK_00000219,GO:0005515
CK_00000220,GO:0003824|GO:0006633|GO:0016747
CK_00000221,GO:0004315|GO:0006633
CK_00000222,GO:0004314
CK_00000223,GO:0016746
CK_00000224,GO:0002949
CK_00000225,GO:0003723|GO:0006396|GO:0016779
CK_00000226,GO:0003723
CK_00000227,GO:0009058|GO:0016765
CK_00000228,GO:0016117|GO:0016166|GO:0016491
CK_00000229,GO:0016655
CK_00000230,GO:0003700|GO:0006355
CK_00000233,GO:0004489|GO:0006555
CK_00000234,GO:0006355
CK_00000236,GO:0003951|GO:0006741
CK_00000238,GO:0008137
CK_00000239,GO:0008137|GO:0016020|GO:0016651|GO:0051539
CK_00000240,GO:0016020
CK_00000241,GO:0005737|GO:0046912
CK_00000243,GO:0003677
CK_00000244,GO:0008519|GO:0016020|GO:0072488
CK_00000245,GO:0019288|GO:0046872|GO:0050992|GO:0051745
CK_00000246,GO:0003937|GO:0004643|GO:0006164
CK_00000247,GO:0016787
CK_00000249,GO:0000155|GO:0007165
CK_00000250,GO:0008818|GO:0051073
CK_00000251,GO:0006400|GO:0008479|GO:0016763|GO:0101030
CK_00000252,GO:0009523|GO:0009539|GO:0015979
CK_00000253,GO:0000166
CK_00000255,GO:0004588
CK_00000258,GO:0000287|GO:0005975|GO:0016868
CK_00000259,GO:0016702
CK_00000260,GO:0000105|GO:0004424
CK_00000262,GO:0016787
CK_00000263,GO:0003848|GO:0009396
CK_00000265,GO:0043743
CK_00000266,GO:0008137|GO:0016651
CK_00000267,GO:0008137|GO:0048038|GO:0051536|GO:0051539
CK_00000268,GO:0008137
CK_00000269,GO:0005506
CK_00000271,GO:0009523|GO:0009767|GO:0015979|GO:0016020|GO:0019684|GO:0020037|GO:0046872
