SeqCluster,Prot_AC,score,RecName
CK_00057447,P0DJM5,0.995199978351593,Acidic phospholipase A2 Cvv-E6c;
CK_00057450,P0DJM5,0.995199978351593,Acidic phospholipase A2 Cvv-E6c;
CK_00057482,P80460,0.9958000183105468,Photosystem II extrinsic protein U 
CK_00057504,P83348,0.9954000115394592,Trypsin;
CK_00057539,P0DSH1,0.995199978351593,Protein YsaE 
CK_00057454,P86549,0.9962000250816344,Kunitz-type serine protease inhibitor SOTI;
CK_00057476,Q8IVG9,0.9955000281333924,Humanin 
CK_00057537,P15871,0.9954000115394592,Histone H1.1;
CK_00057491,P85110,0.9958000183105468,S-layer protein 2;
CK_00057522,Q3E7Z6,0.9958999752998352,Uncharacterized protein YHL015W-A;
CK_00057543,P83960,0.8154542370500657,Alpha-benincasin;
CK_00057503,P82303,0.9955000281333924,Hemocyanin subunit 2;
CK_00057443,P0DJM5,0.9957000017166138,Acidic phospholipase A2 Cvv-E6c;
CK_00057452,P85829,0.9951000213623048,Brain peptide MVPVPVHHMADELLRNGPDTVI;
CK_00057479,C1P616,0.8285225135469432,Small toxic protein IbsD;
CK_00057507,P83629,0.9955000281333924,Pancreatic triacylglycerol lipase 
CK_00057535,P0DSH6,0.996399998664856,Protein YsdE 
CK_00057446,Q2JT51,0.9957000017166138,Photosystem I reaction center subunit XII 
CK_00057453,P38437,0.8115614288359261,Uncharacterized protein in miaA 5'region;
CK_00057458,Q4G371,0.9955999851226808,Photosystem I reaction center subunit XII 
CK_00057478,Q2JT51,0.9951000213623048,Photosystem I reaction center subunit XII 
CK_00057494,Q85G61,0.995299994945526,Photosystem II reaction center protein Y 
CK_00057517,P0DJM5,0.9951000213623048,Acidic phospholipase A2 Cvv-E6c;
CK_00057532,Q2JT51,0.9951000213623048,Photosystem I reaction center subunit XII 
CK_00057536,Q85BK0,0.9961000084877014,Photosystem II reaction center protein M 
CK_00056946,B3EWI0,0.9954000115394592,Galactose-binding lectin-2 
CK_00057459,P35902,0.9957000017166138,Arylalkyl acylamidase;
CK_00057464,P35902,0.9955000281333924,Arylalkyl acylamidase;
CK_00057506,P33163,0.995299994945526,Malate dehydrogenase;
CK_00057509,Q31BZ4,0.9962999820709229,Photosystem I reaction center subunit XII 
CK_00057512,P0DSF5,0.9958999752998352,Protein YdgV 
CK_00057518,P0DSF5,0.9958999752998352,Protein YdgV 
CK_00057533,Q3E7Z6,0.9955000281333924,Uncharacterized protein YHL015W-A;
CK_00057511,P81072,0.9954000115394592,AMP deaminase 1 
CK_00057514,Q1XDC1,0.995299994945526,Uncharacterized protein ycf18;
CK_00033151,Q8TGQ7,0.9965000152587892,Uncharacterized protein YPR159C-A;
CK_00043536,Q2SMB8,0.9950000047683716,Probable Fe(2+)-trafficking protein 
CK_00054546,Q19VC5,0.9955000281333924,Cytochrome b6-f complex subunit 5 
CK_00055955,P20416,0.9955000281333924,Snake venom metalloproteinase bothrolysin;
CK_00057460,C0HJJ3,0.9961000084877014,Glucagon-1;
CK_00005473,A0T0A1,0.9965000152587892,Cytochrome b6-f complex subunit 6 
CK_00033829,B7KAA7,0.995199978351593,Cytochrome b6-f complex subunit 7 
CK_00042434,Q5SCY3,0.8190219799838445,Photosystem II reaction center protein M 
CK_00042663,P20412,0.9961000084877014,Giant hemoglobin AI chain;
CK_00044512,C1P616,0.8012815891012188,Small toxic protein IbsD;
CK_00047605,Q08362,0.9958999752998352,Cytochrome b6-f complex subunit 5 
CK_00049112,Q70XY6,0.9961000084877014,Photosystem I reaction center subunit IX 
CK_00051658,Q10926,0.9962999820709229,Uncharacterized protein B0302.2;
CK_00051828,O19912,0.9950000047683716,Large ribosomal subunit protein bL34c 
CK_00052036,P0CJ40,0.9957000017166138,L-amino-acid oxidase;
CK_00054091,P0DMU0,0.9954000115394592,Snake venom serine protease jerdonase;
CK_00054270,P35902,0.9950000047683716,Arylalkyl acylamidase;
CK_00054620,Q49148,0.9950000047683716,Coenzyme PQQ synthesis protein A;
CK_00055948,Q9MUS2,0.9957000017166138,Photosystem I reaction center subunit XII 
CK_00003852,Q0ICR3,1.0,Photosystem II reaction center protein T 
CK_00008417,Q0P3J8,0.9962000250816344,Photosystem I reaction center subunit XII 
CK_00035172,Q3ZJ21,0.9957000017166138,Cytochrome b559 subunit beta 
CK_00036385,P81424,0.9950000047683716,71 kDa F-actin-binding protein;
CK_00036738,P50659,0.9954000115394592,NADH-ubiquinone oxidoreductase chain 1;
CK_00039757,P41601,0.9965999722480774,Photosystem I reaction center subunit XII 
CK_00042413,P49512,0.9955999851226808,Photosystem II reaction center protein J 
CK_00042971,O78455,0.9955000281333924,Photosystem II reaction center protein X 
CK_00043473,P38437,0.8136545175118641,Uncharacterized protein in miaA 5'region;
CK_00043491,P34667,0.9958000183105468,Uncharacterized protein ZK686.1;
CK_00043570,P18263,0.9950000047683716,Photosystem II reaction center protein K 
CK_00043683,A0T0A8,0.996399998664856,Cytochrome b6-f complex subunit 8 
CK_00043905,C1P616,0.8084221769150162,Small toxic protein IbsD;
CK_00044688,P48185,0.9950000047683716,Photosystem I reaction center subunit XII;
CK_00044803,O78455,0.995299994945526,Photosystem II reaction center protein X 
CK_00046527,A5A627,0.8027896452537533,Small toxic protein TisB;
CK_00049252,Q8TGS2,0.9958000183105468,Uncharacterized protein YOL019W-A;
CK_00049829,Q60322,0.8346544823272417,Uncharacterized IS-like element protein MJ0016/MJ1621.1;
CK_00051192,P0DSI0,0.9955999851226808,Protein YthB 
CK_00051491,P50659,0.9950000047683716,NADH-ubiquinone oxidoreductase chain 1;
CK_00051645,A2BX44,0.996399998664856,Cytochrome b6-f complex subunit 5 
CK_00055641,Q8YNB0,0.9955000281333924,Photosystem I reaction center subunit XII 
CK_00034749,P86549,0.995199978351593,Kunitz-type serine protease inhibitor SOTI;
CK_00043576,P20416,0.9954000115394592,Snake venom metalloproteinase bothrolysin;
CK_00044471,A5A615,0.9959999918937684,Uncharacterized protein YncL;
CK_00045801,P86043,0.9958999752998352,Phospholipase A2 
CK_00047986,P0C234,0.9955999851226808,Calcitonin 
CK_00049012,A4QM18,0.9959999918937684,Cytochrome b6-f complex subunit 8 
CK_00049315,P30802,0.995299994945526,Galanin;
CK_00052383,A0T0T9,0.9959999918937684,Photosystem II reaction center protein J 
CK_00052479,P0C234,0.9957000017166138,Calcitonin 
CK_00055730,P80529,0.9957000017166138,Cathepsin B-like cysteine proteinase;
CK_00001878,A2BQM6,1.0,Cytochrome b6-f complex subunit 8 
CK_00034785,P24262,0.8872939279599947,Sucrose porin;
CK_00036732,Q1KVS8,0.9962999820709229,Photosystem II reaction center protein M 
CK_00037072,Q7YNW2,0.9954000115394592,Photosystem II reaction center protein M 
CK_00039575,A5GJH8,0.9955000281333924,Photosystem I reaction center subunit XII 
CK_00043182,Q321S5,0.996399998664856,Uncharacterized protein YoaI;
CK_00043196,P86689,0.9950000047683716,C-reactive protein P2 subunit 4;
CK_00044840,Q0P3J8,0.9972000122070312,Photosystem I reaction center subunit XII 
CK_00045434,C1P616,0.8008545832988645,Small toxic protein IbsD;
CK_00045578,P16312,0.9959999918937684,Peptidase 1;
CK_00050440,Q70Y09,0.9966999888420104,Photosystem II reaction center protein M 
CK_00050736,Q96VG2,0.9959999918937684,Probable dolichyl-diphosphooligosaccharide--protein glycosyltransferase 4 kDa subunit;
CK_00050890,Q2JT51,0.9968000054359436,Photosystem I reaction center subunit XII 
CK_00053337,P39430,0.9950000047683716,Inosine/xanthosine triphosphatase 
CK_00055952,Q9TLR6,0.9957000017166138,Cytochrome b6-f complex subunit 8;
CK_00056387,O78452,0.9958999752998352,Uncharacterized 6.1 kDa protein;
CK_00056412,P31590,0.996399998664856,Photosystem I reaction center subunit XII 
CK_00004020,Q3V515,0.9966999888420104,Photosystem I reaction center subunit IX 
CK_00034504,P01363,0.995299994945526,Egg-releasing peptide;
CK_00036849,C0H464,0.9955999851226808,Uncharacterized membrane protein YrzT;
CK_00037067,P0DKL7,0.9950000047683716,Basic phospholipase A2 homolog Vur-S49 analog;
CK_00040729,P43964,0.9950000047683716,Uncharacterized protein HI_0210;
CK_00043375,C1P616,0.8002201773224833,Small toxic protein IbsD;
CK_00043859,P86689,0.9965000152587892,C-reactive protein P2 subunit 4;
CK_00045316,P81786,0.995299994945526,Aldehyde dehydrogenase 
CK_00045425,Q8TGM2,0.8257060961798857,Putative uncharacterized protein YLR347W-A;
CK_00045687,Q54FI7,0.9959999918937684,Putative uncharacterized protein DDB_G0290819;
CK_00045890,O78452,0.9959999918937684,Uncharacterized 6.1 kDa protein;
CK_00046468,P13636,0.9954000115394592,Pepsin A;
CK_00047607,Q1KVS8,0.9958999752998352,Photosystem II reaction center protein M 
CK_00049544,P24262,0.8384226964087773,Sucrose porin;
CK_00054707,B0YPP8,0.9957000017166138,Photosystem I reaction center subunit IX 
CK_00055004,P41124,0.9097233418604276,Maltose/maltodextrin import ATP-binding protein MalK 
CK_00056184,P72701,0.9968000054359436,Photosystem II reaction center protein M 
CK_00056340,P0DPO7,0.997099995613098,Protein YneP 
CK_00035111,Q54C00,0.9957000017166138,Putative uncharacterized protein DDB_G0293310;
CK_00035218,P42692,0.9951000213623048,Somatoliberin;
CK_00045572,P80008,0.9965999722480774,Aryl acylamidase;
CK_00048293,P19122,0.9961000084877014,Alpha-lactalbumin I;
CK_00049916,P20412,0.9962000250816344,Giant hemoglobin AI chain;
CK_00049953,B8HVD9,0.9961000084877014,Photosystem II reaction center protein J 
CK_00050074,P86689,0.9961000084877014,C-reactive protein P2 subunit 4;
CK_00053944,P35902,0.9962000250816344,Arylalkyl acylamidase;
CK_00054004,P0CJ71,0.9961000084877014,Humanin-like 4 
CK_00054398,P80529,0.9957000017166138,Cathepsin B-like cysteine proteinase;
CK_00054817,P0DPC7,0.9954000115394592,rpoE leader peptide;
CK_00056441,P20416,0.9961000084877014,Snake venom metalloproteinase bothrolysin;
CK_00008502,P34667,0.9951000213623048,Uncharacterized protein ZK686.1;
CK_00034576,Q09MB5,0.9954000115394592,Putative uncharacterized protein ycf15;
CK_00035128,Q9TS44,0.995199978351593,Cholecystokinins;
CK_00036045,P72575,0.9962999820709229,Photosystem II reaction center protein X 
CK_00043256,P44179,0.9954000115394592,Uncharacterized protein HI_1404;
CK_00043433,O57414,0.9955000281333924,Rho GTPase-activating protein 6;
CK_00046201,B4HSS0,0.9955000281333924,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 4 
CK_00046546,P81077,0.9950000047683716,Myotoxin inhibitor protein 
CK_00048112,P85438,0.9955999851226808,Acetyl-CoA carboxylase;
CK_00051805,Q8LLV8,0.995299994945526,Peptide POLARIS;
CK_00053613,Q1KVX1,0.9958999752998352,Cytochrome b6-f complex subunit 5 
CK_00053862,P53182,0.8054772566340063,Putative uncharacterized protein YGL041C;
CK_00053959,P0C234,0.9955000281333924,Calcitonin 
CK_00054770,P0DKH9,0.9958999752998352,Auxin-responsive endogenous peptide 1 
CK_00000516,Q85FI9,0.9966999888420104,Large ribosomal subunit protein bL36c 
CK_00005340,Q85FK6,0.9958000183105468,Cytochrome b559 subunit beta 
CK_00005366,P55597,0.9959999918937684,Uncharacterized protein y4oL;
CK_00033218,P20412,0.9954000115394592,Giant hemoglobin AI chain;
