SeqCluster,Pfam_result
CK_00000001,PF00140|PF04539|PF04542|PF04545
CK_00000002,PF00072|PF00486
CK_00000003,PF00005
CK_00000004,PF00502
CK_00000005,PF00005
CK_00000006,PF00574
CK_00000007,PF00004|PF01434|PF06480|PF17862
CK_00000009,PF00124
CK_00000010,PF14250
CK_00000011,PF00004|PF02861|PF07724|PF10431|PF17871
CK_00000012,PF00427|PF01383
CK_00000013,PF13180|PF13365
CK_00000015,PF00361
CK_00000016,PF00111
CK_00000017,PF00044|PF02800
CK_00000018,PF00873
CK_00000019,PF00076
CK_00000020,PF03109
CK_00000021,PF01041
CK_00000022,PF00005
CK_00000023,PF12849
CK_00000024,PF02514|PF11965
CK_00000025,PF12697
CK_00000026,PF00291
CK_00000027,PF01725
CK_00000028,PF00521|PF03989
CK_00000029,PF00012
CK_00000030,PF00266
CK_00000031,PF04055|PF16881
CK_00000032,PF00223
CK_00000033,PF03572|PF17820
CK_00000035,PF01169
CK_00000037,PF00936
CK_00000038,PF00578
CK_00000039,PF00483|PF01050|PF22640
CK_00000040,PF01641
CK_00000042,PF00124
CK_00000043,PF00487
CK_00000044,PF00427
CK_00000045,PF00916|PF01740
CK_00000047,PF00085
CK_00000049,PF02016|PF17676
CK_00000050,PF00504
CK_00000051,PF00005|PF13732
CK_00000053,PF00849|PF01479
CK_00000054,PF00905|PF00912
CK_00000055,PF00270|PF00271|PF03880
CK_00000058,PF13301
CK_00000059,PF00106
CK_00000060,PF02492|PF07683
CK_00000061,PF01746|PF02542
CK_00000063,PF13442
CK_00000064,PF04472
CK_00000065,PF00122|PF00403|PF00702
CK_00000066,PF00109|PF02801
CK_00000067,PF00504
CK_00000068,PF13343
CK_00000069,PF00502
CK_00000070,PF02672
CK_00000072,PF09996
CK_00000073,PF02687
CK_00000074,PF13347
CK_00000075,PF00117
CK_00000076,PF13433
CK_00000080,PF00950
CK_00000081,PF00805
CK_00000083,PF00171
CK_00000086,PF05834
CK_00000088,PF00483
CK_00000090,PF01370
CK_00000092,PF00977
CK_00000093,PF00291
CK_00000097,PF11746
CK_00000098,PF00202
CK_00000099,PF03734
CK_00000100,PF00205|PF02775|PF02776
CK_00000102,PF02852|PF07992
CK_00000103,PF00120|PF03951
CK_00000105,PF00512|PF00672|PF02518|PF08448
CK_00000106,PF00389|PF01842|PF02826|PF19304
CK_00000111,PF13481|PF13541|PF18073
CK_00000113,PF00361|PF00662|PF01010
CK_00000114,PF01078|PF13519|PF17863
CK_00000115,PF16363
CK_00000116,PF00580|PF13361|PF21196
CK_00000118,PF00343
CK_00000119,PF01964
CK_00000120,PF01043|PF07516|PF07517|PF21090
CK_00000123,PF01370
CK_00000124,PF07690
CK_00000125,PF00772|PF03796
CK_00000126,PF00437
CK_00000127,PF00162
CK_00000134,PF00310|PF01493|PF01645|PF04898
CK_00000135,PF00828
CK_00000136,PF13646
CK_00000137,PF02427
CK_00000138,PF00171
CK_00000140,PF13409|PF13410
CK_00000144,PF03372
CK_00000145,PF01266
CK_00000149,PF13355
CK_00000151,PF02397
CK_00000152,PF00275
CK_00000153,PF00676
CK_00000156,PF13245|PF13538
CK_00000157,PF00465
CK_00000158,PF01225|PF02875|PF08245
CK_00000160,PF01625
CK_00000161,PF01425
CK_00000164,PF13393
CK_00000165,PF00528
CK_00000166,PF00471
CK_00000167,PF00578|PF10417
CK_00000168,PF00575|PF00773|PF08206
CK_00000169,PF02915
CK_00000171,PF13472
CK_00000173,PF00421
CK_00000174,PF02089
CK_00000177,PF20045
CK_00000180,PF13370
CK_00000181,PF00562|PF04560|PF04561|PF04563|PF04565|PF10385
CK_00000184,PF01926|PF05128
CK_00000186,PF00543
CK_00000187,PF01327
CK_00000188,PF07498|PF16258
CK_00000189,PF02080|PF03600
CK_00000193,PF04459|PF17820|PF19238
CK_00000194,PF02673
CK_00000195,PF11318
CK_00000196,PF00890|PF02910
CK_00000197,PF07884
CK_00000198,PF00919|PF04055|PF18693
CK_00000199,PF14251
CK_00000200,PF01872
CK_00000201,PF01242
CK_00000202,PF01202
CK_00000203,PF00043|PF13417
CK_00000204,PF02033
CK_00000205,PF00933|PF18034
CK_00000206,PF02602
CK_00000207,PF03364
CK_00000208,PF01593
CK_00000209,PF01521
CK_00000210,PF13431
CK_00000212,PF01370|PF08338
CK_00000213,PF11910
CK_00000214,PF00226
CK_00000216,PF00005
CK_00000217,PF13177
CK_00000218,PF02223
CK_00000219,PF13424
CK_00000220,PF02504
CK_00000221,PF08541|PF08545
CK_00000222,PF00698
CK_00000223,PF01553
CK_00000224,PF00814
CK_00000225,PF01743|PF12627
CK_00000226,PF00076
CK_00000227,PF00494
CK_00000228,PF01593
CK_00000229,PF10664
CK_00000230,PF00126|PF03466
CK_00000231,PF07298
CK_00000232,PF02616
CK_00000233,PF02219
CK_00000234,PF00196
CK_00000235,PF01928
CK_00000236,PF01513|PF20143
CK_00000237,PF00420
CK_00000238,PF00499
CK_00000239,PF12838
CK_00000240,PF00146
CK_00000241,PF00285
CK_00000242,PF03023
CK_00000243,PF03749|PF17746
CK_00000244,PF00909
CK_00000245,PF02401
CK_00000246,PF01808|PF02142
CK_00000247,PF02230
CK_00000248,PF11352
CK_00000249,PF00512|PF02518
CK_00000250,PF02654
CK_00000251,PF01702
CK_00000252,PF02533
CK_00000253,PF01408|PF22725
CK_00000254,PF00571|PF01595|PF03471
CK_00000257,PF13482
